({b"H'\xe2\r\x80h": [-55, 2440789]}, ': ', b'sleep=10 | counter=80 | timeElap=HR=0 min=13, sec=30') 
({b"H'\xe2\r\x80h": [-56, 2451039]}, ': ', b'sleep=10 | counter=81 | timeElap=HR=0 min=13, sec=41') 
({b"H'\xe2\r\x80h": [-56, 2461289]}, ': ', b'sleep=10 | counter=82 | timeElap=HR=0 min=13, sec=51') 
({b"H'\xe2\r\x80h": [-54, 2471749]}, ': ', b'sleep=10 | counter=83 | timeElap=HR=0 min=14, sec=1') 
({b"H'\xe2\r\x80h": [-58, 2481989]}, ': ', b'sleep=10 | counter=84 | timeElap=HR=0 min=14, sec=12') 
({b"H'\xe2\r\x80h": [-59, 2492229]}, ': ', b'sleep=10 | counter=85 | timeElap=HR=0 min=14, sec=22') 
({b"H'\xe2\r\x80h": [-57, 2502469]}, ': ', b'sleep=10 | counter=86 | timeElap=HR=0 min=14, sec=32') 
({b"H'\xe2\r\x80h": [-57, 2512709]}, ': ', b'sleep=10 | counter=87 | timeElap=HR=0 min=14, sec=42') 
({b"H'\xe2\r\x80h": [-58, 2522949]}, ': ', b'sleep=10 | counter=88 | timeElap=HR=0 min=14, sec=53') 
({b"H'\xe2\r\x80h": [-57, 2533199]}, ': ', b'sleep=10 | counter=89 | timeElap=HR=0 min=15, sec=3') 
({b"H'\xe2\r\x80h": [-58, 2543449]}, ': ', b'sleep=10 | counter=90 | timeElap=HR=0 min=15, sec=13') 
({b"H'\xe2\r\x80h": [-58, 2553691]}, ': ', b'sleep=10 | counter=91 | timeElap=HR=0 min=15, sec=23') 
({b"H'\xe2\r\x80h": [-56, 2564039]}, ': ', b'sleep=10 | counter=92 | timeElap=HR=0 min=15, sec=34') 
({b"H'\xe2\r\x80h": [-56, 2574289]}, ': ', b'sleep=10 | counter=93 | timeElap=HR=0 min=15, sec=44') 
({b"H'\xe2\r\x80h": [-57, 2584539]}, ': ', b'sleep=10 | counter=94 | timeElap=HR=0 min=15, sec=54') 
({b"H'\xe2\r\x80h": [-57, 2594789]}, ': ', b'sleep=10 | counter=95 | timeElap=HR=0 min=16, sec=4') 
({b"H'\xe2\r\x80h": [-58, 2605039]}, ': ', b'sleep=10 | counter=96 | timeElap=HR=0 min=16, sec=15') 
({b"H'\xe2\r\x80h": [-58, 2615289]}, ': ', b'sleep=10 | counter=97 | timeElap=HR=0 min=16, sec=25') 
({b"H'\xe2\r\x80h": [-55, 2625539]}, ': ', b'sleep=10 | counter=98 | timeElap=HR=0 min=16, sec=35') 
({b"H'\xe2\r\x80h": [-71, 2635779]}, ': ', b'sleep=10 | counter=99 | timeElap=HR=0 min=16, sec=45') 
({b"H'\xe2\r\x80h": [-62, 2646019]}, ': ', b'sleep=10 | counter=100 | timeElap=HR=0 min=16, sec=56') 
({b"H'\xe2\r\x80h": [-62, 2656270]}, ': ', b'sleep=10 | counter=101 | timeElap=HR=0 min=17, sec=6') 
({b"H'\xe2\r\x80h": [-64, 2666730]}, ': ', b'sleep=10 | counter=102 | timeElap=HR=0 min=17, sec=16') 
({b"H'\xe2\r\x80h": [-65, 2687230]}, ': ', b'sleep=10 | counter=104 | timeElap=HR=0 min=17, sec=37') 
({b"H'\xe2\r\x80h": [-64, 2707730]}, ': ', b'sleep=10 | counter=106 | timeElap=HR=0 min=17, sec=57') 
({b"H'\xe2\r\x80h": [-65, 2717970]}, ': ', b'sleep=10 | counter=107 | timeElap=HR=0 min=18, sec=8') 
({b"H'\xe2\r\x80h": [-64, 2728220]}, ': ', b'sleep=10 | counter=108 | timeElap=HR=0 min=18, sec=18') 
({b"H'\xe2\r\x80h": [-64, 2748710]}, ': ', b'sleep=10 | counter=110 | timeElap=HR=0 min=18, sec=38') 
({b"H'\xe2\r\x80h": [-60, 2759070]}, ': ', b'sleep=10 | counter=111 | timeElap=HR=0 min=18, sec=49') 
({b"H'\xe2\r\x80h": [-62, 2769310]}, ': ', b'sleep=10 | counter=112 | timeElap=HR=0 min=18, sec=59') 
({b"H'\xe2\r\x80h": [-62, 2779560]}, ': ', b'sleep=10 | counter=113 | timeElap=HR=0 min=19, sec=9') 
({b"H'\xe2\r\x80h": [-62, 2789800]}, ': ', b'sleep=10 | counter=114 | timeElap=HR=0 min=19, sec=19') 
({b"H'\xe2\r\x80h": [-62, 2800050]}, ': ', b'sleep=10 | counter=115 | timeElap=HR=0 min=19, sec=30') 
({b"H'\xe2\r\x80h": [-62, 2810290]}, ': ', b'sleep=10 | counter=116 | timeElap=HR=0 min=19, sec=40') 
({b"H'\xe2\r\x80h": [-68, 2820540]}, ': ', b'sleep=10 | counter=117 | timeElap=HR=0 min=19, sec=50') 
({b"H'\xe2\r\x80h": [-63, 2841030]}, ': ', b'sleep=10 | counter=119 | timeElap=HR=0 min=20, sec=11') 
({b"H'\xe2\r\x80h": [-63, 2851281]}, ': ', b'sleep=10 | counter=120 | timeElap=HR=0 min=20, sec=21') 
({b"H'\xe2\r\x80h": [-62, 2861740]}, ': ', b'sleep=10 | counter=121 | timeElap=HR=0 min=20, sec=31') 
({b"H'\xe2\r\x80h": [-62, 2871980]}, ': ', b'sleep=10 | counter=122 | timeElap=HR=0 min=20, sec=42') 
({b"H'\xe2\r\x80h": [-62, 2882230]}, ': ', b'sleep=10 | counter=123 | timeElap=HR=0 min=20, sec=52') 
({b"H'\xe2\r\x80h": [-62, 2892471]}, ': ', b'sleep=10 | counter=124 | timeElap=HR=0 min=21, sec=2') 
({b"H'\xe2\r\x80h": [-62, 2902711]}, ': ', b'sleep=10 | counter=125 | timeElap=HR=0 min=21, sec=12') 
({b"H'\xe2\r\x80h": [-62, 2912961]}, ': ', b'sleep=10 | counter=126 | timeElap=HR=0 min=21, sec=23') 
({b"H'\xe2\r\x80h": [-66, 2923211]}, ': ', b'sleep=10 | counter=127 | timeElap=HR=0 min=21, sec=33') 
({b"H'\xe2\r\x80h": [-62, 2933451]}, ': ', b'sleep=10 | counter=128 | timeElap=HR=0 min=21, sec=43') 
({b"H'\xe2\r\x80h": [-64, 2943701]}, ': ', b'sleep=10 | counter=129 | timeElap=HR=0 min=21, sec=53') 
({b"H'\xe2\r\x80h": [-65, 2954061]}, ': ', b'sleep=10 | counter=130 | timeElap=HR=0 min=22, sec=4') 
({b"H'\xe2\r\x80h": [-63, 2964301]}, ': ', b'sleep=10 | counter=131 | timeElap=HR=0 min=22, sec=14') 
({b"H'\xe2\r\x80h": [-65, 2974541]}, ': ', b'sleep=10 | counter=132 | timeElap=HR=0 min=22, sec=24') 
({b"H'\xe2\r\x80h": [-64, 2984781]}, ': ', b'sleep=10 | counter=133 | timeElap=HR=0 min=22, sec=34') 
({b"H'\xe2\r\x80h": [-64, 2995021]}, ': ', b'sleep=10 | counter=134 | timeElap=HR=0 min=22, sec=45') 
({b"H'\xe2\r\x80h": [-65, 3005261]}, ': ', b'sleep=10 | counter=135 | timeElap=HR=0 min=22, sec=55') 
({b"H'\xe2\r\x80h": [-66, 3015511]}, ': ', b'sleep=10 | counter=136 | timeElap=HR=0 min=23, sec=5') 
({b"H'\xe2\r\x80h": [-64, 3025761]}, ': ', b'sleep=10 | counter=137 | timeElap=HR=0 min=23, sec=15') 
({b"H'\xe2\r\x80h": [-64, 3036011]}, ': ', b'sleep=10 | counter=138 | timeElap=HR=0 min=23, sec=26') 
({b"H'\xe2\r\x80h": [-64, 3046471]}, ': ', b'sleep=10 | counter=139 | timeElap=HR=0 min=23, sec=36') 
({b"H'\xe2\r\x80h": [-66, 3056711]}, ': ', b'sleep=10 | counter=140 | timeElap=HR=0 min=23, sec=46') 
({b"H'\xe2\r\x80h": [-65, 3066952]}, ': ', b'sleep=10 | counter=141 | timeElap=HR=0 min=23, sec=57') 
({b"H'\xe2\r\x80h": [-67, 3077191]}, ': ', b'sleep=10 | counter=142 | timeElap=HR=0 min=24, sec=7') 
({b"H'\xe2\r\x80h": [-67, 3087431]}, ': ', b'sleep=10 | counter=143 | timeElap=HR=0 min=24, sec=17') 
({b"H'\xe2\r\x80h": [-65, 3097672]}, ': ', b'sleep=10 | counter=144 | timeElap=HR=0 min=24, sec=27') 
({b"H'\xe2\r\x80h": [-66, 3107912]}, ': ', b'sleep=10 | counter=145 | timeElap=HR=0 min=24, sec=38') 
({b"H'\xe2\r\x80h": [-65, 3118152]}, ': ', b'sleep=10 | counter=146 | timeElap=HR=0 min=24, sec=48') 
({b"H'\xe2\r\x80h": [-64, 3128402]}, ': ', b'sleep=10 | counter=147 | timeElap=HR=0 min=24, sec=58') 
({b"H'\xe2\r\x80h": [-66, 3138642]}, ': ', b'sleep=10 | counter=148 | timeElap=HR=0 min=25, sec=8') 
({b"H'\xe2\r\x80h": [-64, 3148992]}, ': ', b'sleep=10 | counter=149 | timeElap=HR=0 min=25, sec=19') 
({b"H'\xe2\r\x80h": [-65, 3159232]}, ': ', b'sleep=10 | counter=150 | timeElap=HR=0 min=25, sec=29') 
({b"H'\xe2\r\x80h": [-66, 3169472]}, ': ', b'sleep=10 | counter=151 | timeElap=HR=0 min=25, sec=39') 
({b"H'\xe2\r\x80h": [-66, 3179712]}, ': ', b'sleep=10 | counter=152 | timeElap=HR=0 min=25, sec=49') 
({b"H'\xe2\r\x80h": [-65, 3189952]}, ': ', b'sleep=10 | counter=153 | timeElap=HR=0 min=26, sec=0') 
({b"H'\xe2\r\x80h": [-65, 3200192]}, ': ', b'sleep=10 | counter=154 | timeElap=HR=0 min=26, sec=10') 
({b"H'\xe2\r\x80h": [-65, 3210432]}, ': ', b'sleep=10 | counter=155 | timeElap=HR=0 min=26, sec=20') 
({b"H'\xe2\r\x80h": [-67, 3220672]}, ': ', b'sleep=10 | counter=156 | timeElap=HR=0 min=26, sec=30') 
({b"H'\xe2\r\x80h": [-67, 3230912]}, ': ', b'sleep=10 | counter=157 | timeElap=HR=0 min=26, sec=41') 
({b"H'\xe2\r\x80h": [-67, 3241372]}, ': ', b'sleep=10 | counter=158 | timeElap=HR=0 min=26, sec=51') 
({b"H'\xe2\r\x80h": [-66, 3251612]}, ': ', b'sleep=10 | counter=159 | timeElap=HR=0 min=27, sec=1') 
({b"H'\xe2\r\x80h": [-64, 3261852]}, ': ', b'sleep=10 | counter=160 | timeElap=HR=0 min=27, sec=12') 
({b"H'\xe2\r\x80h": [-64, 3272092]}, ': ', b'sleep=10 | counter=161 | timeElap=HR=0 min=27, sec=22') 
({b"H'\xe2\r\x80h": [-64, 3282332]}, ': ', b'sleep=10 | counter=162 | timeElap=HR=0 min=27, sec=32') 
({b"H'\xe2\r\x80h": [-64, 3292572]}, ': ', b'sleep=10 | counter=163 | timeElap=HR=0 min=27, sec=42') 
({b"H'\xe2\r\x80h": [-64, 3302812]}, ': ', b'sleep=10 | counter=164 | timeElap=HR=0 min=27, sec=52') 
({b"H'\xe2\r\x80h": [-65, 3313052]}, ': ', b'sleep=10 | counter=165 | timeElap=HR=0 min=28, sec=3') 
({b"H'\xe2\r\x80h": [-64, 3323293]}, ': ', b'sleep=10 | counter=166 | timeElap=HR=0 min=28, sec=13') 
({b"H'\xe2\r\x80h": [-64, 3343883]}, ': ', b'sleep=10 | counter=168 | timeElap=HR=0 min=28, sec=34') 
({b"H'\xe2\r\x80h": [-66, 3354124]}, ': ', b'sleep=10 | counter=169 | timeElap=HR=0 min=28, sec=44') 
({b"H'\xe2\r\x80h": [-64, 3364373]}, ': ', b'sleep=10 | counter=170 | timeElap=HR=0 min=28, sec=54') 
({b"H'\xe2\r\x80h": [-62, 3374613]}, ': ', b'sleep=10 | counter=171 | timeElap=HR=0 min=29, sec=4') 
({b"H'\xe2\r\x80h": [-63, 3384853]}, ': ', b'sleep=10 | counter=172 | timeElap=HR=0 min=29, sec=15') 
({b"H'\xe2\r\x80h": [-63, 3395093]}, ': ', b'sleep=10 | counter=173 | timeElap=HR=0 min=29, sec=25') 
({b"H'\xe2\r\x80h": [-63, 3405333]}, ': ', b'sleep=10 | counter=174 | timeElap=HR=0 min=29, sec=35') 
({b"H'\xe2\r\x80h": [-63, 3415573]}, ': ', b'sleep=10 | counter=175 | timeElap=HR=0 min=29, sec=45') 
({b"H'\xe2\r\x80h": [-63, 3425813]}, ': ', b'sleep=10 | counter=176 | timeElap=HR=0 min=29, sec=55') 
({b"H'\xe2\r\x80h": [-63, 3436283]}, ': ', b'sleep=10 | counter=177 | timeElap=HR=0 min=30, sec=6') 
({b"H'\xe2\r\x80h": [-63, 3446523]}, ': ', b'sleep=10 | counter=178 | timeElap=HR=0 min=30, sec=16') 
({b"H'\xe2\r\x80h": [-63, 3456763]}, ': ', b'sleep=10 | counter=179 | timeElap=HR=0 min=30, sec=26') 
({b"H'\xe2\r\x80h": [-62, 3467013]}, ': ', b'sleep=10 | counter=180 | timeElap=HR=0 min=30, sec=37') 
({b"H'\xe2\r\x80h": [-63, 3477253]}, ': ', b'sleep=10 | counter=181 | timeElap=HR=0 min=30, sec=47') 
({b"H'\xe2\r\x80h": [-63, 3487496]}, ': ', b'sleep=10 | counter=182 | timeElap=HR=0 min=30, sec=57') 
({b"H'\xe2\r\x80h": [-64, 3497743]}, ': ', b'sleep=10 | counter=183 | timeElap=HR=0 min=31, sec=7') 
({b"H'\xe2\r\x80h": [-62, 3507983]}, ': ', b'sleep=10 | counter=184 | timeElap=HR=0 min=31, sec=18') 
({b"H'\xe2\r\x80h": [-62, 3518223]}, ': ', b'sleep=10 | counter=185 | timeElap=HR=0 min=31, sec=28') 
({b"H'\xe2\r\x80h": [-63, 3528573]}, ': ', b'sleep=10 | counter=186 | timeElap=HR=0 min=31, sec=38') 
({b"H'\xe2\r\x80h": [-61, 3538813]}, ': ', b'sleep=10 | counter=187 | timeElap=HR=0 min=31, sec=48') 
({b"H'\xe2\r\x80h": [-63, 3549064]}, ': ', b'sleep=10 | counter=188 | timeElap=HR=0 min=31, sec=59') 
({b"H'\xe2\r\x80h": [-62, 3559304]}, ': ', b'sleep=10 | counter=189 | timeElap=HR=0 min=32, sec=9') 
({b"H'\xe2\r\x80h": [-63, 3569544]}, ': ', b'sleep=10 | counter=190 | timeElap=HR=0 min=32, sec=19') 
({b"H'\xe2\r\x80h": [-63, 3579795]}, ': ', b'sleep=10 | counter=191 | timeElap=HR=0 min=32, sec=29') 
({b"H'\xe2\r\x80h": [-62, 3590034]}, ': ', b'sleep=10 | counter=192 | timeElap=HR=0 min=32, sec=40') 
({b"H'\xe2\r\x80h": [-62, 3600284]}, ': ', b'sleep=10 | counter=193 | timeElap=HR=0 min=32, sec=50') 
({b"H'\xe2\r\x80h": [-62, 3610534]}, ': ', b'sleep=10 | counter=194 | timeElap=HR=0 min=33, sec=0') 
({b"H'\xe2\r\x80h": [-62, 3620994]}, ': ', b'sleep=10 | counter=195 | timeElap=HR=0 min=33, sec=11') 
({b"H'\xe2\r\x80h": [-62, 3631234]}, ': ', b'sleep=10 | counter=196 | timeElap=HR=0 min=33, sec=21') 
({b"H'\xe2\r\x80h": [-61, 3641474]}, ': ', b'sleep=10 | counter=197 | timeElap=HR=0 min=33, sec=31') 
({b"H'\xe2\r\x80h": [-63, 3651724]}, ': ', b'sleep=10 | counter=198 | timeElap=HR=0 min=33, sec=41') 
({b"H'\xe2\r\x80h": [-63, 3661974]}, ': ', b'sleep=10 | counter=199 | timeElap=HR=0 min=33, sec=52') 
({b"H'\xe2\r\x80h": [-61, 3672214]}, ': ', b'sleep=10 | counter=200 | timeElap=HR=0 min=34, sec=2') 
({b"H'\xe2\r\x80h": [-63, 3682454]}, ': ', b'sleep=10 | counter=201 | timeElap=HR=0 min=34, sec=12') 
({b"H'\xe2\r\x80h": [-63, 3692694]}, ': ', b'sleep=10 | counter=202 | timeElap=HR=0 min=34, sec=22') 
({b"H'\xe2\r\x80h": [-61, 3702934]}, ': ', b'sleep=10 | counter=203 | timeElap=HR=0 min=34, sec=33') 
({b"H'\xe2\r\x80h": [-61, 3713174]}, ': ', b'sleep=10 | counter=204 | timeElap=HR=0 min=34, sec=43') 
({b"H'\xe2\r\x80h": [-62, 3723524]}, ': ', b'sleep=10 | counter=205 | timeElap=HR=0 min=34, sec=53') 
({b"H'\xe2\r\x80h": [-63, 3733764]}, ': ', b'sleep=10 | counter=206 | timeElap=HR=0 min=35, sec=3') 
({b"H'\xe2\r\x80h": [-63, 3744004]}, ': ', b'sleep=10 | counter=207 | timeElap=HR=0 min=35, sec=14') 
({b"H'\xe2\r\x80h": [-62, 3754244]}, ': ', b'sleep=10 | counter=208 | timeElap=HR=0 min=35, sec=24') 
({b"H'\xe2\r\x80h": [-63, 3764485]}, ': ', b'sleep=10 | counter=209 | timeElap=HR=0 min=35, sec=34') 
({b"H'\xe2\r\x80h": [-62, 3774725]}, ': ', b'sleep=10 | counter=210 | timeElap=HR=0 min=35, sec=44') 
({b"H'\xe2\r\x80h": [-63, 3784965]}, ': ', b'sleep=10 | counter=211 | timeElap=HR=0 min=35, sec=55') 
({b"H'\xe2\r\x80h": [-61, 3795205]}, ': ', b'sleep=10 | counter=212 | timeElap=HR=0 min=36, sec=5') 
({b"H'\xe2\r\x80h": [-61, 3805455]}, ': ', b'sleep=10 | counter=213 | timeElap=HR=0 min=36, sec=15') 
({b"H'\xe2\r\x80h": [-62, 3815915]}, ': ', b'sleep=10 | counter=214 | timeElap=HR=0 min=36, sec=26') 
({b"H'\xe2\r\x80h": [-62, 3826165]}, ': ', b'sleep=10 | counter=215 | timeElap=HR=0 min=36, sec=36') 
({b"H'\xe2\r\x80h": [-64, 3836405]}, ': ', b'sleep=10 | counter=216 | timeElap=HR=0 min=36, sec=46') 
({b"H'\xe2\r\x80h": [-60, 3846645]}, ': ', b'sleep=10 | counter=217 | timeElap=HR=0 min=36, sec=56') 
({b"H'\xe2\r\x80h": [-63, 3856895]}, ': ', b'sleep=10 | counter=218 | timeElap=HR=0 min=37, sec=7') 
({b"H'\xe2\r\x80h": [-61, 3867135]}, ': ', b'sleep=10 | counter=219 | timeElap=HR=0 min=37, sec=17') 
({b"H'\xe2\r\x80h": [-61, 3877385]}, ': ', b'sleep=10 | counter=220 | timeElap=HR=0 min=37, sec=27') 
({b"H'\xe2\r\x80h": [-61, 3887635]}, ': ', b'sleep=10 | counter=221 | timeElap=HR=0 min=37, sec=37') 
({b"H'\xe2\r\x80h": [-61, 3897885]}, ': ', b'sleep=10 | counter=222 | timeElap=HR=0 min=37, sec=48') 
({b"H'\xe2\r\x80h": [-61, 3908235]}, ': ', b'sleep=10 | counter=223 | timeElap=HR=0 min=37, sec=58') 
({b"H'\xe2\r\x80h": [-64, 3918485]}, ': ', b'sleep=10 | counter=224 | timeElap=HR=0 min=38, sec=8') 
({b"H'\xe2\r\x80h": [-62, 3928735]}, ': ', b'sleep=10 | counter=225 | timeElap=HR=0 min=38, sec=18') 
({b"H'\xe2\r\x80h": [-63, 3938975]}, ': ', b'sleep=10 | counter=226 | timeElap=HR=0 min=38, sec=29') 
({b"H'\xe2\r\x80h": [-62, 3949215]}, ': ', b'sleep=10 | counter=227 | timeElap=HR=0 min=38, sec=39') 
({b"H'\xe2\r\x80h": [-62, 3959455]}, ': ', b'sleep=10 | counter=228 | timeElap=HR=0 min=38, sec=49') 
({b"H'\xe2\r\x80h": [-64, 3969695]}, ': ', b'sleep=10 | counter=229 | timeElap=HR=0 min=38, sec=59') 
({b"H'\xe2\r\x80h": [-63, 3979935]}, ': ', b'sleep=10 | counter=230 | timeElap=HR=0 min=39, sec=10') 
({b"H'\xe2\r\x80h": [-62, 3990176]}, ': ', b'sleep=10 | counter=231 | timeElap=HR=0 min=39, sec=20') 
({b"H'\xe2\r\x80h": [-63, 4000416]}, ': ', b'sleep=10 | counter=232 | timeElap=HR=0 min=39, sec=30') 
({b"H'\xe2\r\x80h": [-61, 4010876]}, ': ', b'sleep=10 | counter=233 | timeElap=HR=0 min=39, sec=41') 
({b"H'\xe2\r\x80h": [-62, 4021116]}, ': ', b'sleep=10 | counter=234 | timeElap=HR=0 min=39, sec=51') 
({b"H'\xe2\r\x80h": [-62, 4031356]}, ': ', b'sleep=10 | counter=235 | timeElap=HR=0 min=40, sec=1') 
({b"H'\xe2\r\x80h": [-63, 4041596]}, ': ', b'sleep=10 | counter=236 | timeElap=HR=0 min=40, sec=11') 
({b"H'\xe2\r\x80h": [-62, 4051836]}, ': ', b'sleep=10 | counter=237 | timeElap=HR=0 min=40, sec=22') 
({b"H'\xe2\r\x80h": [-61, 4062076]}, ': ', b'sleep=10 | counter=238 | timeElap=HR=0 min=40, sec=32') 
({b"H'\xe2\r\x80h": [-62, 4072316]}, ': ', b'sleep=10 | counter=239 | timeElap=HR=0 min=40, sec=42') 
({b"H'\xe2\r\x80h": [-62, 4082556]}, ': ', b'sleep=10 | counter=240 | timeElap=HR=0 min=40, sec=52') 
({b"H'\xe2\r\x80h": [-61, 4092796]}, ': ', b'sleep=10 | counter=241 | timeElap=HR=0 min=41, sec=2') 
({b"H'\xe2\r\x80h": [-64, 4103146]}, ': ', b'sleep=10 | counter=242 | timeElap=HR=0 min=41, sec=13') 
({b"H'\xe2\r\x80h": [-63, 4113386]}, ': ', b'sleep=10 | counter=243 | timeElap=HR=0 min=41, sec=23') 
({b"H'\xe2\r\x80h": [-62, 4123626]}, ': ', b'sleep=10 | counter=244 | timeElap=HR=0 min=41, sec=33') 
({b"H'\xe2\r\x80h": [-63, 4133866]}, ': ', b'sleep=10 | counter=245 | timeElap=HR=0 min=41, sec=44') 
({b"H'\xe2\r\x80h": [-61, 4144106]}, ': ', b'sleep=10 | counter=246 | timeElap=HR=0 min=41, sec=54') 
({b"H'\xe2\r\x80h": [-62, 4154346]}, ': ', b'sleep=10 | counter=247 | timeElap=HR=0 min=42, sec=4') 
({b"H'\xe2\r\x80h": [-63, 4164586]}, ': ', b'sleep=10 | counter=248 | timeElap=HR=0 min=42, sec=14') 
({b"H'\xe2\r\x80h": [-63, 4174826]}, ': ', b'sleep=10 | counter=249 | timeElap=HR=0 min=42, sec=25') 
({b"H'\xe2\r\x80h": [-63, 4185066]}, ': ', b'sleep=10 | counter=250 | timeElap=HR=0 min=42, sec=35') 
({b"H'\xe2\r\x80h": [-65, 4195526]}, ': ', b'sleep=10 | counter=251 | timeElap=HR=0 min=42, sec=45') 
({b"H'\xe2\r\x80h": [-64, 4205766]}, ': ', b'sleep=10 | counter=252 | timeElap=HR=0 min=42, sec=55') 
({b"H'\xe2\r\x80h": [-64, 4216006]}, ': ', b'sleep=10 | counter=253 | timeElap=HR=0 min=43, sec=6') 
({b"H'\xe2\r\x80h": [-65, 4226247]}, ': ', b'sleep=10 | counter=254 | timeElap=HR=0 min=43, sec=16') 
({b"H'\xe2\r\x80h": [-64, 4246727]}, ': ', b'sleep=10 | counter=256 | timeElap=HR=0 min=43, sec=36') 
({b"H'\xe2\r\x80h": [-62, 4256967]}, ': ', b'sleep=10 | counter=257 | timeElap=HR=0 min=43, sec=47') 
({b"H'\xe2\r\x80h": [-64, 4267207]}, ': ', b'sleep=10 | counter=258 | timeElap=HR=0 min=43, sec=57') 
({b"H'\xe2\r\x80h": [-64, 4277447]}, ': ', b'sleep=10 | counter=259 | timeElap=HR=0 min=44, sec=7') 
({b"H'\xe2\r\x80h": [-64, 4287687]}, ': ', b'sleep=10 | counter=260 | timeElap=HR=0 min=44, sec=17') 
({b"H'\xe2\r\x80h": [-65, 4298037]}, ': ', b'sleep=10 | counter=261 | timeElap=HR=0 min=44, sec=28') 
({b"H'\xe2\r\x80h": [-64, 4308277]}, ': ', b'sleep=10 | counter=262 | timeElap=HR=0 min=44, sec=38') 
({b"H'\xe2\r\x80h": [-63, 4318517]}, ': ', b'sleep=10 | counter=263 | timeElap=HR=0 min=44, sec=48') 
({b"H'\xe2\r\x80h": [-64, 4328757]}, ': ', b'sleep=10 | counter=264 | timeElap=HR=0 min=44, sec=58') 
({b"H'\xe2\r\x80h": [-63, 4338997]}, ': ', b'sleep=10 | counter=265 | timeElap=HR=0 min=45, sec=9') 
({b"H'\xe2\r\x80h": [-64, 4349237]}, ': ', b'sleep=10 | counter=266 | timeElap=HR=0 min=45, sec=19') 
({b"H'\xe2\r\x80h": [-64, 4359477]}, ': ', b'sleep=10 | counter=267 | timeElap=HR=0 min=45, sec=29') 
({b"H'\xe2\r\x80h": [-64, 4369717]}, ': ', b'sleep=10 | counter=268 | timeElap=HR=0 min=45, sec=39') 
({b"H'\xe2\r\x80h": [-63, 4379957]}, ': ', b'sleep=10 | counter=269 | timeElap=HR=0 min=45, sec=50') 
({b"H'\xe2\r\x80h": [-64, 4390417]}, ': ', b'sleep=10 | counter=270 | timeElap=HR=0 min=46, sec=0') 
({b"H'\xe2\r\x80h": [-63, 4400657]}, ': ', b'sleep=10 | counter=271 | timeElap=HR=0 min=46, sec=10') 
({b"H'\xe2\r\x80h": [-62, 4410897]}, ': ', b'sleep=10 | counter=272 | timeElap=HR=0 min=46, sec=21') 
({b"H'\xe2\r\x80h": [-60, 4421147]}, ': ', b'sleep=10 | counter=273 | timeElap=HR=0 min=46, sec=31') 
({b"H'\xe2\r\x80h": [-61, 4431388]}, ': ', b'sleep=10 | counter=274 | timeElap=HR=0 min=46, sec=41') 
({b"H'\xe2\r\x80h": [-63, 4441628]}, ': ', b'sleep=10 | counter=275 | timeElap=HR=0 min=46, sec=51') 
({b"H'\xe2\r\x80h": [-61, 4451867]}, ': ', b'sleep=10 | counter=276 | timeElap=HR=0 min=47, sec=2') 
({b"H'\xe2\r\x80h": [-62, 4462108]}, ': ', b'sleep=10 | counter=277 | timeElap=HR=0 min=47, sec=12') 
({b"H'\xe2\r\x80h": [-61, 4472348]}, ': ', b'sleep=10 | counter=278 | timeElap=HR=0 min=47, sec=22') 
({b"H'\xe2\r\x80h": [-62, 4482698]}, ': ', b'sleep=10 | counter=279 | timeElap=HR=0 min=47, sec=32') 
({b"H'\xe2\r\x80h": [-61, 4492948]}, ': ', b'sleep=10 | counter=280 | timeElap=HR=0 min=47, sec=43') 
({b"H'\xe2\r\x80h": [-62, 4503198]}, ': ', b'sleep=10 | counter=281 | timeElap=HR=0 min=47, sec=53') 
({b"H'\xe2\r\x80h": [-61, 4513448]}, ': ', b'sleep=10 | counter=282 | timeElap=HR=0 min=48, sec=3') 
({b"H'\xe2\r\x80h": [-64, 4523698]}, ': ', b'sleep=10 | counter=283 | timeElap=HR=0 min=48, sec=13') 
({b"H'\xe2\r\x80h": [-61, 4533938]}, ': ', b'sleep=10 | counter=284 | timeElap=HR=0 min=48, sec=24') 
({b"H'\xe2\r\x80h": [-61, 4554428]}, ': ', b'sleep=10 | counter=286 | timeElap=HR=0 min=48, sec=44') 
({b"H'\xe2\r\x80h": [-62, 4564678]}, ': ', b'sleep=10 | counter=287 | timeElap=HR=0 min=48, sec=54') 
({b"H'\xe2\r\x80h": [-61, 4574928]}, ': ', b'sleep=10 | counter=288 | timeElap=HR=0 min=49, sec=5') 
({b"H'\xe2\r\x80h": [-62, 4585398]}, ': ', b'sleep=10 | counter=289 | timeElap=HR=0 min=49, sec=15') 
({b"H'\xe2\r\x80h": [-63, 4595638]}, ': ', b'sleep=10 | counter=290 | timeElap=HR=0 min=49, sec=25') 
({b"H'\xe2\r\x80h": [-62, 4605878]}, ': ', b'sleep=10 | counter=291 | timeElap=HR=0 min=49, sec=36') 
({b"H'\xe2\r\x80h": [-61, 4616128]}, ': ', b'sleep=10 | counter=292 | timeElap=HR=0 min=49, sec=46') 
({b"H'\xe2\r\x80h": [-62, 4626378]}, ': ', b'sleep=10 | counter=293 | timeElap=HR=0 min=49, sec=56') 
({b"H'\xe2\r\x80h": [-62, 4636618]}, ': ', b'sleep=10 | counter=294 | timeElap=HR=0 min=50, sec=6') 
