({b"H'\xe2\r\x80h": [-56, 8650654]}, ': ', b'sleep=154 | counter=25 | timeElap=HR=1 min=6, sec=18') 
({b"H'\xe2\r\x80h": [-57, 8805005]}, ': ', b'sleep=108 | counter=26 | timeElap=HR=1 min=8, sec=52') 
({b"H'\xe2\r\x80h": [-56, 8913245]}, ': ', b'sleep=95 | counter=27 | timeElap=HR=1 min=10, sec=40') 
({b"H'\xe2\r\x80h": [-56, 9008487]}, ': ', b'sleep=24 | counter=28 | timeElap=HR=1 min=12, sec=16') 
({b"H'\xe2\r\x80h": [-55, 9032726]}, ': ', b'sleep=144 | counter=29 | timeElap=HR=1 min=12, sec=40') 
({b"H'\xe2\r\x80h": [-56, 9176966]}, ': ', b'sleep=149 | counter=30 | timeElap=HR=1 min=15, sec=4') 
({b"H'\xe2\r\x80h": [-56, 9326207]}, ': ', b'sleep=81 | counter=31 | timeElap=HR=1 min=17, sec=33') 
({b"H'\xe2\r\x80h": [-56, 9407447]}, ': ', b'sleep=97 | counter=32 | timeElap=HR=1 min=18, sec=55') 
({b"H'\xe2\r\x80h": [-56, 9504688]}, ': ', b'sleep=171 | counter=33 | timeElap=HR=1 min=20, sec=32') 
({b"H'\xe2\r\x80h": [-56, 9675929]}, ': ', b'sleep=101 | counter=34 | timeElap=HR=1 min=23, sec=23') 
({b"H'\xe2\r\x80h": [-55, 9777389]}, ': ', b'sleep=22 | counter=35 | timeElap=HR=1 min=25, sec=5') 
({b"H'\xe2\r\x80h": [-56, 9799629]}, ': ', b'sleep=124 | counter=36 | timeElap=HR=1 min=25, sec=27') 
({b"H'\xe2\r\x80h": [-55, 9923869]}, ': ', b'sleep=75 | counter=37 | timeElap=HR=1 min=27, sec=31') 
({b"H'\xe2\r\x80h": [-55, 9999110]}, ': ', b'sleep=157 | counter=38 | timeElap=HR=1 min=28, sec=46') 
({b"H'\xe2\r\x80h": [-55, 10156351]}, ': ', b'sleep=175 | counter=39 | timeElap=HR=1 min=31, sec=24') 
({b"H'\xe2\r\x80h": [-56, 10331591]}, ': ', b'sleep=80 | counter=40 | timeElap=HR=1 min=34, sec=19') 
({b"H'\xe2\r\x80h": [-56, 10411831]}, ': ', b'sleep=79 | counter=41 | timeElap=HR=1 min=35, sec=39') 
({b"H'\xe2\r\x80h": [-57, 10491072]}, ': ', b'sleep=68 | counter=42 | timeElap=HR=1 min=36, sec=58') 
({b"H'\xe2\r\x80h": [-57, 10559312]}, ': ', b'sleep=54 | counter=43 | timeElap=HR=1 min=38, sec=7') 
({b"H'\xe2\r\x80h": [-56, 10613552]}, ': ', b'sleep=82 | counter=44 | timeElap=HR=1 min=39, sec=1') 
({b"H'\xe2\r\x80h": [-57, 10695904]}, ': ', b'sleep=28 | counter=45 | timeElap=HR=1 min=40, sec=23') 
({b"H'\xe2\r\x80h": [-55, 10724143]}, ': ', b'sleep=23 | counter=46 | timeElap=HR=1 min=40, sec=51') 
({b"H'\xe2\r\x80h": [-55, 10747383]}, ': ', b'sleep=182 | counter=47 | timeElap=HR=1 min=41, sec=15') 
({b"H'\xe2\r\x80h": [-57, 10929623]}, ': ', b'sleep=0 | counter=48 | timeElap=HR=1 min=44, sec=17') 
({b"H'\xe2\r\x80h": [-56, 10929866]}, ': ', b'sleep=78 | counter=49 | timeElap=HR=1 min=44, sec=17') 
({b"H'\xe2\r\x80h": [-55, 11008105]}, ': ', b'sleep=122 | counter=50 | timeElap=HR=1 min=45, sec=35') 
({b"H'\xe2\r\x80h": [-57, 11130344]}, ': ', b'sleep=92 | counter=51 | timeElap=HR=1 min=47, sec=38') 
({b"H'\xe2\r\x80h": [-55, 11222585]}, ': ', b'sleep=44 | counter=52 | timeElap=HR=1 min=49, sec=10') 
({b"H'\xe2\r\x80h": [-56, 11266825]}, ': ', b'sleep=17 | counter=53 | timeElap=HR=1 min=49, sec=54') 
({b"H'\xe2\r\x80h": [-56, 11284285]}, ': ', b'sleep=139 | counter=54 | timeElap=HR=1 min=50, sec=11') 
({b"H'\xe2\r\x80h": [-57, 11423526]}, ': ', b'sleep=114 | counter=55 | timeElap=HR=1 min=52, sec=31') 
({b"H'\xe2\r\x80h": [-56, 11549006]}, ': ', b'sleep=118 | counter=57 | timeElap=HR=1 min=54, sec=36') 
({b"H'\xe2\r\x80h": [-56, 11667247]}, ': ', b'sleep=59 | counter=58 | timeElap=HR=1 min=56, sec=34') 
({b"H'\xe2\r\x80h": [-56, 11726487]}, ': ', b'sleep=194 | counter=59 | timeElap=HR=1 min=57, sec=34') 
({b"H'\xe2\r\x80h": [-56, 11920728]}, ': ', b'sleep=65 | counter=60 | timeElap=HR=2 min=0, sec=48') 
({b"H'\xe2\r\x80h": [-56, 11985970]}, ': ', b'sleep=100 | counter=61 | timeElap=HR=2 min=1, sec=53') 
({b"H'\xe2\r\x80h": [-57, 12086208]}, ': ', b'sleep=186 | counter=62 | timeElap=HR=2 min=3, sec=33') 
({b"H'\xe2\r\x80h": [-56, 12272549]}, ': ', b'sleep=157 | counter=63 | timeElap=HR=2 min=6, sec=40') 
({b"H'\xe2\r\x80h": [-56, 12430292]}, ': ', b'sleep=132 | counter=64 | timeElap=HR=2 min=9, sec=17') 
({b"H'\xe2\r\x80h": [-57, 12562530]}, ': ', b'sleep=44 | counter=65 | timeElap=HR=2 min=11, sec=30') 
({b"H'\xe2\r\x80h": [-55, 12606770]}, ': ', b'sleep=159 | counter=66 | timeElap=HR=2 min=12, sec=14') 
({b"H'\xe2\r\x80h": [-56, 12766011]}, ': ', b'sleep=68 | counter=67 | timeElap=HR=2 min=14, sec=53') 
({b"H'\xe2\r\x80h": [-57, 12834251]}, ': ', b'sleep=159 | counter=68 | timeElap=HR=2 min=16, sec=1') 
({b"H'\xe2\r\x80h": [-58, 12993492]}, ': ', b'sleep=197 | counter=69 | timeElap=HR=2 min=18, sec=41') 
({b"H'\xe2\r\x80h": [-56, 13190733]}, ': ', b'sleep=153 | counter=70 | timeElap=HR=2 min=21, sec=58') 
({b"H'\xe2\r\x80h": [-57, 13343973]}, ': ', b'sleep=29 | counter=71 | timeElap=HR=2 min=24, sec=31') 
({b"H'\xe2\r\x80h": [-56, 13373213]}, ': ', b'sleep=105 | counter=72 | timeElap=HR=2 min=25, sec=0') 
({b"H'\xe2\r\x80h": [-57, 13478674]}, ': ', b'sleep=93 | counter=73 | timeElap=HR=2 min=26, sec=46') 
({b"H'\xe2\r\x80h": [-58, 13973339]}, ': ', b'sleep=120 | counter=74 | timeElap=HR=2 min=28, sec=19') 
({b"H'\xe2\r\x80h": [-56, 14093576]}, ': ', b'sleep=68 | counter=75 | timeElap=HR=2 min=37, sec=1') 
({b"H'\xe2\r\x80h": [-56, 14161817]}, ': ', b'sleep=38 | counter=76 | timeElap=HR=2 min=38, sec=9') 
({b"H'\xe2\r\x80h": [-56, 14200057]}, ': ', b'sleep=123 | counter=77 | timeElap=HR=2 min=38, sec=47') 
({b"H'\xe2\r\x80h": [-56, 14323297]}, ': ', b'sleep=143 | counter=78 | timeElap=HR=2 min=40, sec=50') 
({b"H'\xe2\r\x80h": [-56, 14466538]}, ': ', b'sleep=13 | counter=79 | timeElap=HR=2 min=43, sec=14') 
({b"H'\xe2\r\x80h": [-56, 14479778]}, ': ', b'sleep=141 | counter=80 | timeElap=HR=2 min=43, sec=27') 
({b"H'\xe2\r\x80h": [-55, 14621019]}, ': ', b'sleep=179 | counter=81 | timeElap=HR=2 min=45, sec=48') 
({b"H'\xe2\r\x80h": [-56, 14800369]}, ': ', b'sleep=24 | counter=82 | timeElap=HR=2 min=48, sec=48') 
({b"H'\xe2\r\x80h": [-57, 14824609]}, ': ', b'sleep=188 | counter=83 | timeElap=HR=2 min=49, sec=12') 
({b"H'\xe2\r\x80h": [-56, 15012850]}, ': ', b'sleep=135 | counter=84 | timeElap=HR=2 min=52, sec=20') 
({b"H'\xe2\r\x80h": [-56, 15148091]}, ': ', b'sleep=101 | counter=85 | timeElap=HR=2 min=54, sec=35') 
({b"H'\xe2\r\x80h": [-56, 15249331]}, ': ', b'sleep=181 | counter=86 | timeElap=HR=2 min=56, sec=17') 
({b"H'\xe2\r\x80h": [-56, 15430572]}, ': ', b'sleep=131 | counter=87 | timeElap=HR=2 min=59, sec=18') 
({b"H'\xe2\r\x80h": [-56, 15597053]}, ': ', b'sleep=89 | counter=89 | timeElap=HR=3 min=2, sec=4') 
({b"H'\xe2\r\x80h": [-56, 15686293]}, ': ', b'sleep=115 | counter=90 | timeElap=HR=3 min=3, sec=33') 
({b"H'\xe2\r\x80h": [-56, 15801534]}, ': ', b'sleep=42 | counter=91 | timeElap=HR=3 min=5, sec=29') 
({b"H'\xe2\r\x80h": [-56, 15843994]}, ': ', b'sleep=165 | counter=92 | timeElap=HR=3 min=6, sec=11') 
({b"H'\xe2\r\x80h": [-56, 16009234]}, ': ', b'sleep=154 | counter=93 | timeElap=HR=3 min=8, sec=56') 
({b"H'\xe2\r\x80h": [-57, 16163475]}, ': ', b'sleep=48 | counter=94 | timeElap=HR=3 min=11, sec=31') 
({b"H'\xe2\r\x80h": [-56, 16211715]}, ': ', b'sleep=63 | counter=95 | timeElap=HR=3 min=12, sec=19') 
({b"H'\xe2\r\x80h": [-56, 16274956]}, ': ', b'sleep=183 | counter=96 | timeElap=HR=3 min=13, sec=22') 
({b"H'\xe2\r\x80h": [-56, 16458196]}, ': ', b'sleep=153 | counter=97 | timeElap=HR=3 min=16, sec=25') 
({b"H'\xe2\r\x80h": [-56, 16611437]}, ': ', b'sleep=142 | counter=98 | timeElap=HR=3 min=18, sec=59') 
({b"H'\xe2\r\x80h": [-57, 16753678]}, ': ', b'sleep=64 | counter=99 | timeElap=HR=3 min=21, sec=21') 
({b"H'\xe2\r\x80h": [-57, 16817918]}, ': ', b'sleep=171 | counter=100 | timeElap=HR=3 min=22, sec=25') 
({b"H'\xe2\r\x80h": [-55, 16989269]}, ': ', b'sleep=157 | counter=101 | timeElap=HR=3 min=25, sec=16') 
